中	zhōng	ㄓㄨㄥ
華	huá	ㄏㄨㄚˊ
廣	guǎng	ㄍㄨㄤˇ
大	dà	ㄉㄚˋ
失	shī	ㄕ
迷	mí	ㄇㄧˊ
統	tǒng	ㄊㄨㄥˇ
帥	shuài	ㄕㄨㄞˋ
七	qī	ㄑㄧ
雄	xióng	ㄒㄩㄥˊ
五	wǔ	ㄨˇ
霸	bà	ㄅㄚˋ
先	xiān	ㄒㄧㄢ
前	qián	ㄑㄧㄢˊ
打	dǎ	ㄉㄚˇ
仗	zhàng	ㄓㄤˋ
歐	ōu	ㄡ
流	liú	ㄌㄧㄡˊ
美	měi	ㄇㄟˇ
派	pài	ㄆㄞˋ
今	jīn	ㄐㄧㄣ
時	shí	ㄕˊ
搗	dǎo	ㄉㄠˇ
亂	luàn	ㄌㄨㄢˋ
軍	jūn	ㄐㄩㄣ
閥	fá	ㄈㄚˊ
領	lǐng	ㄌㄧㄥˇ
袖	xiù	ㄒㄧㄡˋ
吞	tūn	ㄊㄨㄣ
雲	yún	ㄩㄣˊ
吐	tǔ	ㄊㄨˇ
霧	wù	ㄨˋ
脫	tuō	ㄊㄨㄛ
離	lí	ㄌㄧˊ
法	fǎ	ㄈㄚˇ
律	lǜ	ㄌㄩˋ
喝	hē	ㄏㄜ
嫖	piáo	ㄆㄧㄠˊ
賭	dǔ	ㄉㄨˇ
戲	xì	ㄒㄧˋ
朱	zhū	ㄓㄨ
門	mén	ㄇㄣˊ
酒	jiǔ	ㄐㄧㄡˇ
肉	ròu	ㄖㄡˋ
荒	huāng	ㄏㄨㄤ
唐	táng	ㄊㄤˊ
享	xiǎng	ㄒㄧㄤˇ
樂	lè	ㄌㄜˋ
雞	jī	ㄐㄧ
鳴	míng	ㄇㄧㄥˊ
狗	gǒu	ㄍㄡˇ
盜	dào	ㄉㄠˋ
司	sī	ㄙ
辰	chén	ㄔㄣˊ
守	shǒu	ㄕㄡˇ
刻	kè	ㄎㄜˋ
